Speech Duration,Pitch,Speech Rate,Jitter,Shimmer,MFCCs,Mood
18.02,138.88,77,0.018,0.02,"[2.508, -0.059, -4.787, -3.823, 7.839, 4.188, 8.894, 9.261, -0.76, -0.398, 3.277, -5.017, 3.091]",Sad
3.66,284.85,165,0.036,0.046,"[7.142, 7.646, 0.855, 5.951, -0.062, 3.756, 4.685, -7.596, 1.799, 6.538, 6.835, -6.795, -6.85]",Surprised
8.93,179.56,117,0.027,0.083,"[3.557, -5.489, 0.748, 0.675, 9.397, -6.319, 4.925, 4.346, -7.538, -8.083, 7.187, 4.724, -8.419]",Neutral
12.41,218.57,132,0.053,0.038,"[9.45, -6.478, -7.879, -6.744, 3.796, -7.392, -7.476, -9.396, -8.825, 1.587, 2.44, 9.947, 3.216]",Fearful
12.32,153.69,63,0.015,0.033,"[-0.875, 5.894, -8.461, 6.59, -7.81, -0.885, -0.831, -7.023, -3.096, -4.936, 0.492, 2.467, -0.431]",Bored
11.4,247.33,127,0.065,0.019,"[4.77, 6.222, -0.088, -8.239, 8.081, 2.012, -6.619, -1.38, 7.969, 8.295, 4.945, 8.222, 6.559]",Fearful
6.89,209.33,179,0.024,0.091,"[8.363, 4.936, -9.692, -9.347, -4.375, 6.193, 5.371, -9.713, -4.827, 4.364, -2.171, -3.821, 6.95]",Happy
8.74,337.83,160,0.088,0.042,"[-3.896, 1.85, 7.707, -1.796, 4.745, 2.362, -0.516, -3.198, 8.25, -1.162, -1.886, -0.113, 8.685]",Angry
8.06,244.97,132,0.014,0.044,"[-0.503, 0.436, -5.902, 8.458, 1.789, 7.94, -4.983, 3.298, -1.225, -7.702, -2.564, -5.466, -7.302]",Happy
7.5,251.94,154,0.087,0.088,"[-5.185, 3.02, -3.826, 3.164, -1.179, 4.533, -7.821, 2.775, 4.253, -9.391, -0.568, 7.702, -6.295]",Surprised
8.27,248.81,128,0.045,0.089,"[8.662, -6.871, -4.759, -6.037, -5.48, -9.004, 8.653, 1.404, 7.461, 6.387, -5.539, -6.327, 1.172]",Happy
5.5,289.91,159,0.027,0.075,"[2.791, 3.136, -1.023, 4.211, 7.728, -7.288, 2.19, 1.4, -5.402, 0.457, 1.299, 4.543, 8.783]",Surprised
17.35,129.21,65,0.046,0.013,"[2.625, -3.879, 9.808, -5.345, -0.451, 3.692, 5.021, 5.139, -6.006, 4.746, 7.929, -7.041, 8.687]",Bored
10.15,223.78,159,0.068,0.019,"[3.721, -9.683, -9.574, -3.922, -6.044, -4.741, 2.661, 1.034, 9.312, -7.924, 4.03, -1.723, 3.765]",Excited
10.59,273.82,159,0.075,0.067,"[-5.677, -1.314, -4.48, -0.814, -0.913, -4.698, -5.903, -9.2, 1.642, -7.31, 0.045, -4.908, -4.396]",Angry
13.39,123.77,71,0.05,0.029,"[9.588, 2.478, 5.101, 3.241, -5.253, 8.433, -0.314, -3.914, 6.455, -4.131, 6.265, -1.221, -7.0]",Bored
